name,price,original_price,discount,rating,review_count,brand,seller,shipping,url,category
Samsung A06 - 6.7 Inch 128GB/4GB Dual SIM 4G Mobile Phone - Black,"EGP 5,499.00","EGP 7,148.70",23%,4.1 out of 5,4.1 out of 5(16),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP2UPCXVNAFAMZ-210973106&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Samsung Galaxy A16 - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Black + Free 25W Adapter USB-C Super Fast Charging - Black","EGP 7,850.00","EGP 9,420.00",17%,4 out of 5,4 out of 5(33),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP38MDUQNAFAMZ-203842698&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Samsung Galaxy A16 - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Black + Free 25W Adapter USB-C Super Fast Charging - Black","EGP 9,250.00","EGP 11,100.00",17%,4.4 out of 5,4.4 out of 5(18),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP29HT5UNAFAMZ-203842702&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Black,"EGP 6,199.00","EGP 8,058.70",23%,3.9 out of 5,3.9 out of 5(22),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP27HGCJNAFAMZ-210973113&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Samsung Galaxy A16 - 6.7"" 128GB/4GB Dual SIM 4G Mobile Phone - Black + Free 25W Adapter USB-C Super Fast Charging - Black","EGP 7,199.00","EGP 9,358.70",23%,4.6 out of 5,4.6 out of 5(9),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP23JH42NAFAMZ-203842701&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor X9c - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Titanium Black","EGP 18,299.00","EGP 21,958.80",17%,5 out of 5,5 out of 5(11),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP1PFPWONAFAMZ-210866854&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor X5b - 6.5"" 64GB/4GB Dual SIM 4G Mobile Phone - Midnight Black","EGP 4,250.00","EGP 6,071.00",30%,4.6 out of 5,4.6 out of 5(10),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP2C26W8NAFAMZ-210866838&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Light Blue,"EGP 6,199.00","EGP 8,058.70",23%,4.4 out of 5,4.4 out of 5(16),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP1VKS8ZNAFAMZ-210973111&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Samsung Galaxy A16 - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Grey + Free 25W Adapter USB-C Super Fast Charging - Black","EGP 9,250.00","EGP 11,100.00",17%,3.8 out of 5,3.8 out of 5(38),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP1XL52ANAFAMZ-203842700&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor X7c - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Moonlight White","EGP 8,199.00","EGP 10,658.70",23%,4.7 out of 5,4.7 out of 5(10),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP2OKALKNAFAMZ-210866850&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"XIAOMI Redmi 13 - 6.7"" 128GB/8GB Dual SIM 4G Mobile Phone - Ocean Blue","EGP 6,699.00","EGP 8,038.80",17%,4 out of 5,4 out of 5(2),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP1PJD37NAFAMZ-210914788&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor X9c - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Jade Cyan","EGP 18,299.00","EGP 21,958.80",17%,4.1 out of 5,4.1 out of 5(10),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP1VE1YGNAFAMZ-210866855&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Infinix Smart 9 - 6.7 Inch 64GB/3GB Dual SIM 4G Mobile Phone - Neo Titanium,"EGP 4,050.00","EGP 5,062.50",20%,5 out of 5,5 out of 5(2),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP1VNALRNAFAMZ-211102921&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Infinix Smart 9 - 6.7 Inch 128GB/4GB Dual SIM 4G Mobile Phone - Mint Green,"EGP 4,699.00","EGP 5,873.75",20%,,,Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP2JGMSVNAFAMZ-211102925&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"XIAOMI Redmi Note 13 - 6.6""Inch 128GB/6GB Dual SIM 4G Mobile Phone - Midnight Black","EGP 7,777.00","EGP 10,110.10",23%,4.7 out of 5,4.7 out of 5(29),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP2RTB0HNAFAMZ-194853307&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Infinix Hot 50i - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Sleek Black,"EGP 5,299.00","EGP 6,623.75",20%,5 out of 5,5 out of 5(4),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP1P3IY7NAFAMZ-211102910&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
XIAOMI Redmi Note 14 Mobile Phone -6.7 Inches - 128GB/8GB - Dual SIM 4G -Midnight Black,"EGP 9,350.00","EGP 12,155.00",23%,,,XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP1U4X1JNAFAMZ-211152215&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Infinix Smart 9 - 6.7 Inch 64GB/3GB Dual SIM 4G Mobile Phone - Mint Green,"EGP 4,050.00","EGP 5,062.50",20%,4.5 out of 5,4.5 out of 5(2),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP21LMNJNAFAMZ-211102922&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
OPPO A3 6.6 256GB/8GB 4G Dual SIM Mobile Phone- Starry Purple,"EGP 9,699.00","EGP 12,123.75",20%,3 out of 5,3 out of 5(2),OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP1WKVPJNAFAMZ-211200724&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
XIAOMI Redmi A3 Dual SIM 4G 128GB/4GB - Midnight Black,"EGP 6,970.00",,,3.8 out of 5,3.8 out of 5(5),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP1Y1MRLNAFAMZ-194853302&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Infinix Smart 9 - 6.7 Inch 128GB/4GB Dual SIM 4G Mobile Phone - Neo Titanium,"EGP 4,699.00","EGP 5,873.75",20%,5 out of 5,5 out of 5(4),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP2DIAR3NAFAMZ-211102924&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Infinix Smart 9 - 6.7 Inch 64GB/3GB Dual SIM 4G Mobile Phone - Metallic Black,"EGP 4,050.00","EGP 5,062.50",20%,5 out of 5,5 out of 5(1),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP1POYJZNAFAMZ-211102920&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
XIAOMI Redmi 13 - 6.7 Inch 256GB/8GB Dual SIM 4G Mobile Phone - Ocean Blue,"EGP 7,199.00","EGP 8,638.80",17%,5 out of 5,5 out of 5(1),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP1SXKUVNAFAMZ-211125011&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Motorola G35 mobile phone Dual SIM 5G 256GB/8GB - Guava Red,"EGP 7,899.00","EGP 9,873.75",20%,,,Motorola,,,https://www.jumia.com.eg/customer/account/login/?tkWl=MO215MP2VMUCBNAFAMZ-211293829&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor X5b - 6.5"" 64GB/4GB Dual SIM 4G Mobile Phone - Ocean Blue","EGP 4,399.00","EGP 5,718.70",23%,4.6 out of 5,4.6 out of 5(7),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP2I0IY0NAFAMZ-210866839&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Samsung Galaxy A16 - 6.7"" 128GB/4GB Dual SIM 4G Mobile Phone - Grey + Free 25W Adapter USB-C Super Fast Charging - Black","EGP 7,199.00","EGP 9,358.70",23%,3.8 out of 5,3.8 out of 5(20),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP2WPPR6NAFAMZ-203842696&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
OPPO A3 - 6.6 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Starlight White,"EGP 8,350.00","EGP 10,437.50",20%,,,OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP37E0WRNAFAMZ-211218490&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Honor X9c Smart -6.8 Inch 256GB/12GB Dual SIM 5G Mobile Phone - Ocean Cyan,"EGP 13,999.00","EGP 17,498.75",20%,,,Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP257XPBNAFAMZ-211821373&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Motorola G75 mobile phone Dual SIM 5G 256GB/8GB - Aqua Blue,"EGP 11,699.00","EGP 14,623.75",20%,,,Motorola,,,https://www.jumia.com.eg/customer/account/login/?tkWl=MO215MP1QJXLNNAFAMZ-211293832&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Motorola G35 mobile phone Dual SIM 5G 256GB/8GB - Leaf Green,"EGP 7,899.00","EGP 9,873.75",20%,5 out of 5,5 out of 5(1),Motorola,,,https://www.jumia.com.eg/customer/account/login/?tkWl=MO215MP31L6E3NAFAMZ-211293830&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Motorola G35 mobile phone Dual SIM 5G 256GB/8GB - Midnight Black,"EGP 7,899.00","EGP 9,873.75",20%,5 out of 5,5 out of 5(2),Motorola,,,https://www.jumia.com.eg/customer/account/login/?tkWl=MO215MP2POIAJNAFAMZ-211293828&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor X7c - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Forest Green","EGP 8,199.00","EGP 10,658.70",23%,5 out of 5,5 out of 5(1),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP2ILYJSNAFAMZ-210866849&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor X7c - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Midnight Black","EGP 8,199.00","EGP 10,658.70",23%,3.3 out of 5,3.3 out of 5(3),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP2CNMI0NAFAMZ-210866848&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"XIAOMI Redmi Note 13 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Mint Green","EGP 9,499.00","EGP 12,348.70",23%,4.1 out of 5,4.1 out of 5(30),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP2V7PFNNAFAMZ-210914795&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Motorola G75 mobile phone Dual SIM 5G 256GB/8GB - Charcoal Gray,"EGP 11,699.00","EGP 14,623.75",20%,4.3 out of 5,4.3 out of 5(4),Motorola,,,https://www.jumia.com.eg/customer/account/login/?tkWl=MO215MP21V63FNAFAMZ-211293824&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Infinix Smart 8 - 6.6 Inch 64GB/2GBDual SIM 4G Mobile Phone - SHINY Gold,"EGP 3,850.00","EGP 4,812.50",20%,5 out of 5,5 out of 5(3),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP30Q7CFNAFAMZ-211102918&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor 200 - 6.7"" 512GB/12GB Dual SIM 5G Mobile Phone - Moonlight White","EGP 24,999.00","EGP 32,498.70",23%,5 out of 5,5 out of 5(1),Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP21XTM0NAFAMZ-210866866&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
XIAOMI Poco C75 - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Black,"EGP 6,880.00","EGP 8,260.00",17%,4.3 out of 5,4.3 out of 5(16),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP32LSWGNAFAMZ-210765133&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
XIAOMI Redmi 13C - 6.74-inch 8GB/256GB Dual Sim 4G Mobile Phone - Navy Blue,"EGP 6,700.00","EGP 8,040.00",17%,4 out of 5,4 out of 5(31),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP2ZNVC3NAFAMZ-185961983&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
Samsung Galaxy A55 Mobile Phone - 6.6 Inches - Dual SIM 5G 128GB/8GB - Awesome Navy,"EGP 21,450.00","EGP 25,000.00",14%,4.5 out of 5,4.5 out of 5(2),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP2H40I4NAFAMZ-161601138&return=%2Fsmartphones%2F%3Fpage%3D1,smartphones
"Honor 200 - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Moonlight White","EGP 22,499.00","EGP 29,248.70",23%,,,Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP1Q15IGNAFAMZ-210866864&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"realme C61 - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Sparkle Gold","EGP 6,799.00","EGP 8,158.80",17%,,,realme,,,https://www.jumia.com.eg/customer/account/login/?tkWl=RE540MP210ON3NAFAMZ-212152391&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Gold,"EGP 6,199.00","EGP 8,058.70",23%,,,Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP3029DVNAFAMZ-210973096&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"XIAOMI Redmi 13 - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Pearl Pink","EGP 7,199.00","EGP 8,638.80",17%,1 out of 5,1 out of 5(1),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP2UM9TVNAFAMZ-210914785&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
OPPO Reno 13F 6.6 Inch 256GB/8GB Dual SIM 4G Mobile Phone - Graphite Grey,"EGP 14,899.00","EGP 17,878.80",17%,,,OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP2E7S9NNAFAMZ-211218495&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"XIAOMI Redmi 13 - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Midnight Black","EGP 7,199.00","EGP 8,638.80",17%,4.6 out of 5,4.6 out of 5(8),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP2IPLQBNAFAMZ-210914783&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"OPPO Reno 12F - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Matte Grey","EGP 12,799.00","EGP 15,358.80",17%,4.6 out of 5,4.6 out of 5(19),OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP2R5CC3NAFAMZ-190698448&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
OPPO Reno 13F 6.6 Inch 256GB/12GB Dual SIM 5G Mobile Phone - Graphite Grey,"EGP 18,599.00","EGP 24,178.70",23%,,,OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP289G7VNAFAMZ-211218494&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Hot 50i - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Titanium Grey,"EGP 5,299.00","EGP 6,623.75",20%,4.4 out of 5,4.4 out of 5(5),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP1V1UZZNAFAMZ-211102911&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"XIAOMI Redmi 13 - 6.7"" 128GB/8GB Dual SIM 4G Mobile Phone - Midnight Black","EGP 6,699.00","EGP 8,038.80",17%,5 out of 5,5 out of 5(1),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP30KLVNNAFAMZ-210914786&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Smart 8 - 6.6 Inch 64GB/2GBDual SIM 4G Mobile Phone - CRYSTAL Green,"EGP 3,850.00","EGP 4,812.50",20%,5 out of 5,5 out of 5(1),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP2URVANNAFAMZ-211102917&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"Itel A70 - 6.6"" 128GB/4GB Dual SIM 4G Mobile Phone - Starlish Black","EGP 4,339.00","EGP 5,499.00",21%,4.5 out of 5,4.5 out of 5(2),Itel,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IT359MP1T5GQ0NAFAMZ-210836820&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Honor X8c - Dual SIM 4G Smartphone - 256GB Storage / 8GB RAM - Midnight Black + FREE X7 Lite Earbuds,"EGP 12,199.00","EGP 14,638.80",17%,,,Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP2EU5LBNAFAMZ-212153507&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Smart 8 - 6.6 Inch 64GB/2GBDual SIM 4G Mobile Phone - TIMBER Black,"EGP 3,850.00","EGP 4,812.50",20%,4 out of 5,4 out of 5(3),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP2OTJ8VNAFAMZ-211102916&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
realme Note 60x - 6.74 Inch 128GB-4GB Dual SIM 4G Mobile Phone - Marble Black,"EGP 5,490.00","EGP 6,999.00",22%,5 out of 5,5 out of 5(1),realme,,,https://www.jumia.com.eg/customer/account/login/?tkWl=RE540MP2CUUDVNAFAMZ-212037857&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"Samsung Galaxy A16 - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Black + Free 25W Samsung Super Fast Charger Black","EGP 7,850.00","EGP 9,420.00",17%,3 out of 5,3 out of 5(2),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP1Z9D9UNAFAMZ-203843659&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Smart 9 - 6.7 Inch 128GB/4GB Dual SIM 4G Mobile Phone - Metallic Black,"EGP 4,699.00","EGP 5,873.75",20%,,,Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP27JYPBNAFAMZ-211102923&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Redmi A3 4GB RAM 128GB ROM MIDNIGHT BLACK,"EGP 5,037.00","EGP 7,000.00",28%,4.5 out of 5,4.5 out of 5(33),Redmi,,,https://www.jumia.com.eg/customer/account/login/?tkWl=RE538MP2PMJ8ENAFAMZ-164178210&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
OPPO Reno 13F 6.6 Inch 256GB/8GB Dual SIM 4G Mobile Phone - Skyline Blue,"EGP 14,899.00","EGP 17,878.80",17%,,,OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP22B463NAFAMZ-211218493&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Honor X9c Smart -6.8 Inch 256GB/12GB Dual SIM 5G Mobile Phone - Moonlight White,"EGP 13,999.00","EGP 17,498.75",20%,,,Honor,,,https://www.jumia.com.eg/customer/account/login/?tkWl=HO474MP1Z9LNJNAFAMZ-211821372&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Motorola G85 mobile phone Dual SIM 5G 256GB/12GB - Urban Grey,"EGP 14,699.00","EGP 18,373.75",20%,,,Motorola,,,https://www.jumia.com.eg/customer/account/login/?tkWl=MO215MP2JQ68RNAFAMZ-211293827&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"Vivo V40 Lite - 6.7"" 128GB/8GB Dual SIM 4G Mobile Phone - Silver","EGP 10,499.00","EGP 12,598.80",17%,4 out of 5,4 out of 5(1),Vivo,,,https://www.jumia.com.eg/customer/account/login/?tkWl=VI235MP27ZSUBNAFAMZ-210914801&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Smart 9 - 6.7 Inch - Dual SIM Mobile Phone 4G 64GB/3GB - Neo Titanium,"EGP 4,290.00","EGP 5,000.00",14%,,,Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP1YJS3NNAFAMZ-211043919&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Hot 50i - 6.7 Inch - Dual SIM Mobile Phone 4G 256GB/8GB - Sage Green,"EGP 5,912.00","EGP 6,500.00",9%,,,Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP30PNZ7NAFAMZ-211043966&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Mobile Smart 9 Dual SIM 4+4GB RAM 128GB  4G -Sandstone Gold,"EGP 4,787.00","EGP 10,000.00",52%,5 out of 5,5 out of 5(1),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP2I03IRNAFAMZ-210915792&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"XIAOMI Mobile Redmi Note 14, 4G Dual SIM 8GB RAM 256GB -  Midnight Black","EGP 10,317.00","EGP 20,000.00",48%,,,XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP1W2X6JNAFAMZ-211222736&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"Motorola MOBILE Moto G35 Dual Sim 256GB , 8+16GB RAM  , 5G , BLACK","EGP 7,890.00","EGP 40,000.00",80%,,,Motorola,,,https://www.jumia.com.eg/customer/account/login/?tkWl=MO215MP1XG8EKNAFAMZ-210587804&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"OPPO Reno 12F - 6.6"" 256GB/12GB Dual SIM 5G Phone Mobile - Olive Green","EGP 16,665.00","EGP 18,000.00",7%,4.4 out of 5,4.4 out of 5(45),OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP2O4BPYNAFAMZ-177789082&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"Samsung Galaxy A16 - 6.7"" 128GB/4GB Dual SIM 4G Mobile Phone - Black  + Free 25W Adapter USB-C Super Fast Charging - Black","EGP 7,199.00","EGP 9,358.70",23%,1 out of 5,1 out of 5(1),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP1ZBIFMNAFAMZ-203843767&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Samsung Galaxy A15 - 6.5-inch 6GB/128GB Dual Sim 4G - Mobile Phone - Yellow.,"EGP 7,500.00","EGP 9,000.00",17%,4.8 out of 5,4.8 out of 5(20),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP2DTOV7NAFAMZ-185963346&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
realme Note 60x - 6.74 Inch 128GB-4GB Dual SIM 4G Mobile Phone - Wilderness Green,"EGP 5,490.00","EGP 6,999.00",22%,,,realme,,,https://www.jumia.com.eg/customer/account/login/?tkWl=RE540MP29XTIRNAFAMZ-212038074&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"Itel A70 - 6.6"" 128GB/4GB Dual SIM 4G Mobile Phone - Brilliant Gold","EGP 4,339.00","EGP 5,499.00",21%,,,Itel,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IT359MP2B0GVCNAFAMZ-210836823&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Samsung Samsung- Galaxy S24 Ultra Dual SIM 5G 256GB/12GB - 6.8 Inch Mobile Phone Titanium Grey,"EGP 56,999.00","EGP 70,000.00",19%,,,Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP333JHNNAFAMZ-211707213&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Infinix Hot 50i - 6.7 Inch - Dual SIM Mobile Phone 4G 256GB/8GB - Sleek Black,"EGP 5,912.00","EGP 6,500.00",9%,1 out of 5,1 out of 5(1),Infinix,,,https://www.jumia.com.eg/customer/account/login/?tkWl=IN234MP1ZSSGZNAFAMZ-211043939&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
XIAOMI Redmi 14C - 6.88-inch 6GB/128GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 6,250.00","EGP 7,500.00",17%,3 out of 5,3 out of 5(1),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP2TEC50NAFAMZ-201276707&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Samsung Galaxy A15 - 6.5-inch 8GB/256GB Dual Sim 4G - Mobile Phone - Light Blue,"EGP 9,000.00","EGP 10,800.00",17%,3.8 out of 5,3.8 out of 5(4),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP2J1VK3NAFAMZ-185962100&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
XIAOMI Redmi 14C - 6.88-inch 4GB/128GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 5,700.00","EGP 6,840.00",17%,3.9 out of 5,3.9 out of 5(7),XIAOMI,,,https://www.jumia.com.eg/customer/account/login/?tkWl=XI606MP398944NAFAMZ-201276369&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
"OPPO Reno 12F - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Olive Green","EGP 12,799.00","EGP 15,358.80",17%,4 out of 5,4 out of 5(32),OPPO,,,https://www.jumia.com.eg/customer/account/login/?tkWl=OP872MP2L70ABNAFAMZ-190698447&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Samsung Galaxy A55 Mobile Phone - 6.6 Inches - Dual SIM 5G 128GB/8GB - Awesome Ice Blue,"EGP 21,450.00","EGP 25,000.00",14%,2.3 out of 5,2.3 out of 5(3),Samsung,,,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024MP25JNB0NAFAMZ-161652051&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
Vivo Y19s – 6.68 Inch -128GB/6GB RAM - 4G - Dual SIM Smart Mobile Phone – Black,"EGP 7,149.00","EGP 9,293.70",23%,,,Vivo,,,https://www.jumia.com.eg/customer/account/login/?tkWl=VI235MP2ESF63NAFAMZ-210963427&return=%2Fsmartphones%2F%3Fpage%3D2,smartphones
